#jd flux err
2454430.22933045 0.94988477 0.00788480
2454430.25016379 0.97563577 0.00913653
2454430.27099712 0.99819894 0.00668787
2454430.29183045 1.00434877 0.00685374
2454430.31266379 1.00731780 0.00558244
2454430.33349712 1.00748516 0.00743768
2454430.35433046 1.00929649 0.00702379
2454430.37516379 1.01157257 0.00532284
2454430.39599712 1.01468707 0.00569770
2454430.41683046 1.01296254 0.00658042
2454430.43766379 1.01105090 0.00593746
2454430.45849713 1.00757096 0.00528189
2454430.47933046 1.00353554 0.00607149
2454430.50016379 0.99959081 0.00529158
2454430.52099713 0.99458853 0.00555289
2454430.54183046 0.99055516 0.00464769
2454430.56266380 0.98482482 0.00619182
2454430.58349713 0.94050510 0.02741973
2454430.60433046 0.80327473 0.05385434
2454430.62516380 0.59020395 0.06875882
2454430.64599713 0.43741129 0.02990931
2454430.66683047 0.48227028 0.04777909
2454430.68766380 0.67186555 0.06076427
2454430.70849713 0.85730948 0.04685334
2454430.72933047 0.96754384 0.01898852
2454430.75016380 0.98734016 0.00586561
2454430.77099713 0.99059697 0.00398368
2454430.79183047 0.99462228 0.00553051
2454430.81266380 1.00216277 0.00520763
2454430.83349714 1.00569165 0.00564908
2454430.85433047 1.01025845 0.00536218
2454430.87516380 1.01445080 0.00656688
2454430.89599714 1.01534040 0.00663621
